Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
14:29:36:757034,4169,-102,-8447,13405,542,-1755,966,-1,-14,-10
14:29:36:764397,4169,-102,-8447,13405,542,-1755,966,-1,-14,-10
14:29:36:772688,4169,-102,-8447,13405,542,-1755,966,-1,-14,-10
14:29:36:773432,4169,-98,-8444,13406,538,-1741,965,17,-9,-4
14:29:36:786889,4169,-98,-8444,13406,538,-1741,965,17,-9,-4
14:29:36:795143,4169,-98,-8444,13406,538,-1741,965,17,-9,-4
14:29:36:795891,4170,-98,-8444,13406,545,-1730,962,8,-10,-5
14:29:36:801912,4170,-98,-8444,13406,545,-1730,962,8,-10,-5
14:29:36:809388,4170,-98,-8444,13406,545,-1730,962,8,-10,-5
14:29:36:817016,4170,-97,-8444,13406,542,-1751,987,-9,-8,-3
14:29:36:824401,4170,-97,-8444,13406,542,-1751,987,-9,-8,-3
14:29:36:832657,4170,-97,-8444,13406,542,-1751,987,-9,-8,-3
14:29:36:833383,4170,-97,-8444,13406,546,-1747,987,0,-2,1
14:29:36:839437,4170,-97,-8444,13406,546,-1747,987,0,-2,1
14:29:36:855169,4170,-97,-8444,13406,546,-1747,987,0,-2,1
14:29:36:855898,4171,-96,-8444,13406,538,-1743,983,8,2,4
14:29:36:861902,4171,-96,-8444,13406,538,-1743,983,8,2,4
14:29:36:869430,4171,-96,-8444,13406,538,-1743,983,8,2,4
14:29:36:877030,4171,-96,-8444,13406,522,-1750,972,2,-2,-3
14:29:36:884385,4171,-96,-8444,13406,522,-1750,972,2,-2,-3
14:29:36:892631,4171,-96,-8444,13406,522,-1750,972,2,-2,-3
14:29:36:893501,4171,-96,-8443,13406,525,-1746,972,-4,-8,-3
14:29:36:899381,4171,-96,-8443,13406,525,-1746,972,-4,-8,-3
14:29:36:915136,4171,-96,-8443,13406,525,-1746,972,-4,-8,-3
14:29:36:915886,4171,-96,-8443,13406,523,-1740,968,1,-8,-5
14:29:36:921887,4171,-96,-8443,13406,523,-1740,968,1,-8,-5
14:29:36:929421,4171,-96,-8443,13406,523,-1740,968,1,-8,-5
14:29:36:937026,4171,-96,-8443,13406,534,-1742,972,-1,-8,-3
14:29:36:944385,4171,-96,-8443,13406,534,-1742,972,-1,-8,-3
14:29:36:952632,4171,-96,-8443,13406,534,-1742,972,-1,-8,-3
14:29:36:953538,4171,-96,-8443,13406,537,-1749,981,-7,-8,-3
14:29:36:959398,4171,-96,-8443,13406,537,-1749,981,-7,-8,-3
14:29:36:975153,4171,-96,-8443,13406,537,-1749,981,-7,-8,-3
14:29:36:976024,4171,-95,-8443,13406,536,-1751,968,-8,-6,-3
14:29:36:981888,4171,-95,-8443,13406,536,-1751,968,-8,-6,-3
14:29:36:989412,4171,-95,-8443,13406,536,-1751,968,-8,-6,-3
14:29:36:997025,4171,-95,-8443,13406,539,-1745,961,-6,-6,-2
14:29:37:4421,4171,-95,-8443,13406,539,-1745,961,-6,-6,-2
14:29:37:12623,4171,-95,-8443,13406,539,-1745,961,-6,-6,-2
14:29:37:13368,4172,-95,-8443,13406,541,-1748,970,-5,-5,-5
14:29:37:19411,4172,-95,-8443,13406,541,-1748,970,-5,-5,-5
14:29:37:35156,4172,-95,-8443,13406,541,-1748,970,-5,-5,-5
14:29:37:36018,4172,-94,-8443,13406,532,-1746,973,-4,-6,-3
14:29:37:41896,4172,-94,-8443,13406,532,-1746,973,-4,-6,-3
14:29:37:49410,4172,-94,-8443,13406,532,-1746,973,-4,-6,-3
14:29:37:65135,4172,-94,-8443,13406,533,-1746,976,-7,-8,-2
14:29:37:66064,4172,-94,-8443,13406,533,-1746,976,-7,-8,-2
14:29:37:72644,4172,-94,-8443,13406,533,-1746,976,-7,-8,-2
14:29:37:73392,4172,-94,-8443,13406,539,-1752,978,-7,-10,-4
14:29:37:79399,4172,-94,-8443,13406,539,-1752,978,-7,-10,-4
14:29:37:95177,4172,-94,-8443,13406,539,-1752,978,-7,-10,-4
14:29:37:96047,4172,-93,-8443,13406,541,-1749,965,-4,-9,-5
14:29:37:101924,4172,-93,-8443,13406,541,-1749,965,-4,-9,-5
14:29:37:109398,4172,-93,-8443,13406,541,-1749,965,-4,-9,-5
14:29:37:117015,4173,-93,-8443,13406,535,-1753,969,-3,-10,-4
14:29:37:124412,4173,-93,-8443,13406,535,-1753,969,-3,-10,-4
14:29:37:132628,4173,-93,-8443,13406,535,-1753,969,-3,-10,-4
14:29:37:133373,4173,-93,-8443,13406,541,-1749,977,-1,-8,-5
14:29:37:139465,4173,-93,-8443,13406,541,-1749,977,-1,-8,-5
14:29:37:155164,4173,-93,-8443,13406,541,-1749,977,-1,-8,-5
14:29:37:155930,4173,-92,-8443,13406,544,-1745,962,-5,-7,-4
14:29:37:161909,4173,-92,-8443,13406,544,-1745,962,-5,-7,-4
14:29:37:169393,4173,-92,-8443,13406,544,-1745,962,-5,-7,-4
14:29:37:177038,4173,-92,-8443,13406,540,-1751,975,-3,-5,-2
14:29:37:184397,4173,-92,-8443,13406,540,-1751,975,-3,-5,-2
14:29:37:192654,4173,-92,-8443,13406,540,-1751,975,-3,-5,-2
14:29:37:193385,4173,-92,-8443,13406,544,-1739,981,6,-2,-3
14:29:37:199409,4173,-92,-8443,13406,544,-1739,981,6,-2,-3
14:29:37:215142,4173,-92,-8443,13406,544,-1739,981,6,-2,-3
14:29:37:215897,4174,-91,-8443,13406,534,-1736,973,-3,0,2
14:29:37:221910,4174,-91,-8443,13406,534,-1736,973,-3,0,2
14:29:37:229406,4174,-91,-8443,13406,534,-1736,973,-3,0,2
14:29:37:237081,4174,-91,-8447,13403,542,-1765,970,-29,-4,2
14:29:37:244378,4174,-91,-8447,13403,542,-1765,970,-29,-4,2
14:29:37:252634,4174,-91,-8447,13403,542,-1765,970,-29,-4,2
14:29:37:253552,4174,-91,-8448,13403,539,-1772,973,-10,2,-1
14:29:37:259394,4174,-91,-8448,13403,539,-1772,973,-10,2,-1
14:29:37:275155,4174,-91,-8448,13403,539,-1772,973,-10,2,-1
14:29:37:275886,4174,-91,-8448,13403,545,-1763,966,11,1,0
14:29:37:281882,4174,-91,-8448,13403,545,-1763,966,11,1,0
14:29:37:297672,4174,-91,-8448,13403,545,-1763,966,11,1,0
14:29:37:298391,4174,-91,-8448,13403,524,-1738,973,5,-4,-2
14:29:37:304439,4174,-91,-8448,13403,524,-1738,973,5,-4,-2
14:29:37:313073,4174,-91,-8448,13403,524,-1738,973,5,-4,-2
14:29:37:319532,4174,-90,-8448,13403,541,-1741,963,-10,-9,-4
14:29:37:326914,4174,-90,-8448,13403,541,-1741,963,-10,-9,-4
14:29:37:335127,4174,-90,-8448,13403,541,-1741,963,-10,-9,-4
14:29:37:335892,4174,-90,-8447,13403,550,-1746,984,-8,-7,-2
14:29:37:341911,4174,-90,-8447,13403,550,-1746,984,-8,-7,-2
14:29:37:357670,4174,-90,-8447,13403,550,-1746,984,-8,-7,-2
14:29:37:358392,4175,-89,-8448,13403,551,-1740,956,8,-1,2
14:29:37:364401,4175,-89,-8448,13403,551,-1740,956,8,-1,2
14:29:37:372642,4175,-89,-8448,13402,546,-1740,960,0,4,2
14:29:37:373419,4175,-89,-8448,13402,546,-1740,960,0,4,2
14:29:37:386887,4175,-89,-8448,13402,546,-1740,960,0,4,2
14:29:37:395146,4175,-88,-8448,13402,557,-1749,978,-11,10,1
14:29:37:395881,4175,-88,-8448,13402,557,-1749,978,-11,10,1
14:29:37:401930,4175,-88,-8448,13402,557,-1749,978,-11,10,1
14:29:37:417685,4176,-88,-8448,13402,546,-1754,975,4,15,7
14:29:37:418418,4176,-88,-8448,13402,546,-1754,975,4,15,7
14:29:37:424419,4176,-88,-8448,13402,546,-1754,975,4,15,7
14:29:37:432647,4176,-87,-8447,13402,534,-1737,980,10,11,7
14:29:37:433397,4176,-87,-8447,13402,534,-1737,980,10,11,7
14:29:37:446888,4176,-87,-8447,13402,534,-1737,980,10,11,7
14:29:37:455169,4176,-87,-8447,13403,520,-1742,983,-4,8,6
14:29:37:455901,4176,-87,-8447,13403,520,-1742,983,-4,8,6
14:29:37:461923,4176,-87,-8447,13403,520,-1742,983,-4,8,6
14:29:37:477632,4176,-87,-8447,13403,533,-1749,975,-7,2,5
14:29:37:478386,4176,-87,-8447,13403,533,-1749,975,-7,2,5
14:29:37:484388,4176,-87,-8447,13403,533,-1749,975,-7,2,5
14:29:37:492635,4176,-87,-8447,13403,527,-1749,966,0,5,3
14:29:37:493417,4176,-87,-8447,13403,527,-1749,966,0,5,3
14:29:37:506903,4176,-87,-8447,13403,527,-1749,966,0,5,3
14:29:37:515147,4176,-87,-8446,13403,541,-1732,980,2,4,3
14:29:37:515888,4176,-87,-8446,13403,541,-1732,980,2,4,3
14:29:37:521946,4176,-87,-8446,13403,541,-1732,980,2,4,3
14:29:37:537667,4177,-86,-8446,13403,542,-1737,974,-6,8,4
14:29:37:538409,4177,-86,-8446,13403,542,-1737,974,-6,8,4
14:29:37:544393,4177,-86,-8446,13403,542,-1737,974,-6,8,4
14:29:37:552658,4177,-86,-8446,13403,539,-1749,973,-13,10,4
14:29:37:553430,4177,-86,-8446,13403,539,-1749,973,-13,10,4
14:29:37:566924,4177,-86,-8446,13403,539,-1749,973,-13,10,4
14:29:37:575155,4177,-86,-8446,13403,544,-1757,971,-9,9,4
14:29:37:575888,4177,-86,-8446,13403,544,-1757,971,-9,9,4
14:29:37:581884,4177,-86,-8446,13403,544,-1757,971,-9,9,4
14:29:37:597646,4177,-86,-8446,13403,533,-1748,977,-4,9,1
14:29:37:598412,4177,-86,-8446,13403,533,-1748,977,-4,9,1
14:29:37:604461,4177,-86,-8446,13403,533,-1748,977,-4,9,1
14:29:37:620189,4177,-85,-8446,13403,531,-1750,979,-5,6,2
14:29:37:621049,4177,-85,-8446,13403,531,-1750,979,-5,6,2
14:29:37:626883,4177,-85,-8446,13403,531,-1750,979,-5,6,2
14:29:37:635141,4177,-85,-8446,13403,533,-1757,976,-6,2,1
14:29:37:635873,4177,-85,-8446,13403,533,-1757,976,-6,2,1
14:29:37:641889,4177,-85,-8446,13403,533,-1757,976,-6,2,1
14:29:37:657404,4177,-85,-8446,13403,535,-1752,964,-7,1,4
14:29:37:665124,4177,-85,-8446,13403,535,-1752,964,-7,1,4
14:29:37:665880,4177,-85,-8446,13403,535,-1752,964,-7,1,4
14:29:37:672692,4177,-85,-8446,13403,540,-1750,968,-7,0,3
14:29:37:673456,4177,-85,-8446,13403,540,-1750,968,-7,0,3
14:29:37:686896,4177,-85,-8446,13403,540,-1750,968,-7,0,3
14:29:37:695158,4178,-85,-8446,13403,538,-1752,964,-11,2,2
14:29:37:695892,4178,-85,-8446,13403,538,-1752,964,-11,2,2
14:29:37:701892,4178,-85,-8446,13403,538,-1752,964,-11,2,2
14:29:37:717649,4178,-84,-8446,13403,543,-1747,966,-10,3,3
14:29:37:718512,4178,-84,-8446,13403,543,-1747,966,-10,3,3
14:29:37:724412,4178,-84,-8446,13403,543,-1747,966,-10,3,3
14:29:37:732636,4178,-84,-8446,13403,535,-1747,976,-9,8,5
14:29:37:733382,4178,-84,-8446,13403,535,-1747,976,-9,8,5
14:29:37:746905,4178,-84,-8446,13403,535,-1747,976,-9,8,5
14:29:37:755191,4178,-84,-8446,13403,543,-1747,971,-3,11,5
14:29:37:756035,4178,-84,-8446,13403,543,-1747,971,-3,11,5
14:29:37:761918,4178,-84,-8446,13403,543,-1747,971,-3,11,5
14:29:37:777656,4178,-83,-8446,13403,541,-1743,979,4,13,7
14:29:37:778406,4178,-83,-8446,13403,541,-1743,979,4,13,7
14:29:37:784412,4178,-83,-8446,13403,541,-1743,979,4,13,7
14:29:37:792655,4178,-83,-8446,13403,529,-1738,975,-11,11,9
14:29:37:793522,4178,-83,-8446,13403,529,-1738,975,-11,11,9
14:29:37:806891,4178,-83,-8446,13403,529,-1738,975,-11,11,9
14:29:37:815142,4178,-86,-8448,13401,527,-1758,982,-27,6,8
14:29:37:816010,4178,-86,-8448,13401,527,-1758,982,-27,6,8
14:29:37:821923,4178,-86,-8448,13401,527,-1758,982,-27,6,8
14:29:37:837662,4178,-86,-8448,13401,538,-1777,981,-9,6,6
14:29:37:838405,4178,-86,-8448,13401,538,-1777,981,-9,6,6
14:29:37:844405,4178,-86,-8448,13401,538,-1777,981,-9,6,6
14:29:37:852660,4178,-86,-8448,13401,533,-1758,969,11,6,6
14:29:37:853453,4178,-86,-8448,13401,533,-1758,969,11,6,6
14:29:37:866901,4178,-86,-8448,13401,533,-1758,969,11,6,6
14:29:37:875526,4178,-86,-8448,13401,517,-1748,970,8,4,0
14:29:37:882503,4178,-86,-8448,13401,517,-1748,970,8,4,0
14:29:37:883392,4178,-86,-8448,13401,517,-1748,970,8,4,0
14:29:37:897650,4178,-86,-8448,13401,540,-1753,973,-3,-1,-2
14:29:37:898426,4178,-86,-8448,13401,540,-1753,973,-3,-1,-2
14:29:37:904432,4178,-86,-8448,13401,540,-1753,973,-3,-1,-2
14:29:37:912653,4178,-86,-8449,13401,542,-1752,956,5,2,0
14:29:37:913389,4178,-86,-8449,13401,542,-1752,956,5,2,0
14:29:37:926900,4178,-86,-8449,13401,542,-1752,956,5,2,0
14:29:37:935145,4178,-85,-8449,13401,546,-1741,964,13,6,1
14:29:37:935876,4178,-85,-8449,13401,546,-1741,964,13,6,1
14:29:37:941933,4178,-85,-8449,13401,546,-1741,964,13,6,1
14:29:37:957718,4179,-85,-8449,13401,547,-1739,969,4,10,1
14:29:37:958403,4179,-85,-8449,13401,547,-1739,969,4,10,1
14:29:37:964385,4179,-85,-8449,13401,547,-1739,969,4,10,1
14:29:37:972638,4179,-84,-8449,13401,552,-1756,976,-2,12,3
14:29:37:973473,4179,-84,-8449,13401,552,-1756,976,-2,12,3
14:29:37:986903,4179,-84,-8449,13401,552,-1756,976,-2,12,3
14:29:37:995158,4179,-84,-8449,13401,542,-1760,977,9,12,4
14:29:37:995897,4179,-84,-8449,13401,542,-1760,977,9,12,4
14:29:38:1906,4179,-84,-8449,13401,542,-1760,977,9,12,4
14:29:38:18139,4179,-84,-8449,13401,522,-1753,968,8,4,1
14:29:38:18929,4179,-84,-8449,13401,522,-1753,968,8,4,1
14:29:38:24426,4179,-84,-8449,13401,522,-1753,968,8,4,1
14:29:38:32636,4174,-80,-8458,13396,516,-1748,953,-43,-49,-4
14:29:38:33441,4174,-80,-8458,13396,516,-1748,953,-43,-49,-4
14:29:38:46896,4174,-80,-8458,13396,516,-1748,953,-43,-49,-4
14:29:38:55188,4159,-52,-8490,13381,519,-1723,1000,-184,-230,-34
14:29:38:55934,4159,-52,-8490,13381,519,-1723,1000,-184,-230,-34
14:29:38:61900,4159,-52,-8490,13381,519,-1723,1000,-184,-230,-34
14:29:38:77694,4138,-23,-8530,13362,621,-1763,995,-215,-232,23
14:29:38:78424,4138,-23,-8530,13362,621,-1763,995,-215,-232,23
14:29:38:84427,4138,-23,-8530,13362,621,-1763,995,-215,-232,23
14:29:38:92669,4117,-8,-8559,13350,638,-1878,964,-131,-149,61
14:29:38:93419,4117,-8,-8559,13350,638,-1878,964,-131,-149,61
14:29:38:106908,4117,-8,-8559,13350,638,-1878,964,-131,-149,61
14:29:38:115161,4082,3,-8564,13358,545,-1839,962,23,-164,127
14:29:38:115889,4082,3,-8564,13358,545,-1839,962,23,-164,127
14:29:38:121894,4082,3,-8564,13358,545,-1839,962,23,-164,127
14:29:38:137656,4040,22,-8573,13365,575,-1803,917,23,-209,163
14:29:38:138519,4040,22,-8573,13365,575,-1803,917,23,-209,163
14:29:38:144403,4040,22,-8573,13365,575,-1803,917,23,-209,163
14:29:38:152681,3993,43,-8582,13373,660,-1882,921,43,-216,206
14:29:38:153429,3993,43,-8582,13373,660,-1882,921,43,-216,206
14:29:38:166902,3993,43,-8582,13373,660,-1882,921,43,-216,206
14:29:38:175154,3940,53,-8573,13395,708,-1956,879,194,-137,298
14:29:38:175883,3940,53,-8573,13395,708,-1956,879,194,-137,298
14:29:38:181882,3940,53,-8573,13395,708,-1956,879,194,-137,298
14:29:38:197666,3877,48,-8537,13435,698,-1961,908,342,-61,411
14:29:38:198524,3877,48,-8537,13435,698,-1961,908,342,-61,411
14:29:38:204403,3877,48,-8537,13435,698,-1961,908,342,-61,411
14:29:38:220196,3801,13,-8481,13493,548,-2000,945,451,25,517
14:29:38:220880,3801,13,-8481,13493,548,-2000,945,451,25,517
14:29:38:235762,3801,13,-8481,13493,548,-2000,945,451,25,517
14:29:38:236644,3711,-40,-8405,13565,459,-1990,1010,535,76,622
14:29:38:237410,3711,-40,-8405,13565,459,-1990,1010,535,76,622
14:29:38:249403,3711,-40,-8405,13565,459,-1990,1010,535,76,622
14:29:38:265803,3616,-126,-8306,13651,397,-2029,1104,622,230,753
14:29:38:266550,3616,-126,-8306,13651,397,-2029,1104,622,230,753
14:29:38:267392,3616,-126,-8306,13651,397,-2029,1104,622,230,753
14:29:38:271957,3515,-234,-8150,13769,327,-1936,1200,902,370,878
14:29:38:279415,3515,-234,-8150,13769,327,-1936,1200,902,370,878
14:29:38:286917,3515,-234,-8150,13769,327,-1936,1200,902,370,878
14:29:38:295154,3401,-357,-7985,13892,261,-1789,1157,946,416,992
14:29:38:295902,3401,-357,-7985,13892,261,-1789,1157,946,416,992
14:29:38:309392,3401,-357,-7985,13892,261,-1789,1157,946,416,992
14:29:38:317637,3262,-510,-7845,13999,78,-1583,1134,713,434,1136
14:29:38:318399,3262,-510,-7845,13999,78,-1583,1134,713,434,1136
14:29:38:324450,3262,-510,-7845,13999,78,-1583,1134,713,434,1136
14:29:38:332030,3079,-691,-7797,14060,-32,-1447,1104,88,343,1332
14:29:38:339429,3079,-691,-7797,14060,-32,-1447,1104,88,343,1332
14:29:38:346893,3079,-691,-7797,14060,-32,-1447,1104,88,343,1332
14:29:38:355192,2839,-956,-7981,13991,-527,-1260,1038,-1435,411,1673
14:29:38:355905,2839,-956,-7981,13991,-527,-1260,1038,-1435,411,1673
14:29:38:369412,2839,-956,-7981,13991,-527,-1260,1038,-1435,411,1673
14:29:38:377662,2635,-1166,-8238,13866,-139,-2196,1064,-1824,219,1313
14:29:38:378415,2635,-1166,-8238,13866,-139,-2196,1064,-1824,219,1313
14:29:38:384391,2635,-1166,-8238,13866,-139,-2196,1064,-1824,219,1313
14:29:38:392052,2411,-1401,-8411,13781,-234,-2268,1139,-1342,295,1456
14:29:38:399404,2411,-1401,-8411,13781,-234,-2268,1139,-1342,295,1456
14:29:38:406918,2411,-1401,-8411,13781,-234,-2268,1139,-1342,295,1456
14:29:38:422715,2192,-1629,-8403,13797,-372,-2334,1104,-166,367,1558
14:29:38:423397,2192,-1629,-8403,13797,-372,-2334,1104,-166,367,1558
14:29:38:429426,2192,-1629,-8403,13797,-372,-2334,1104,-166,367,1558
14:29:38:437682,2029,-1832,-8242,13893,-313,-2176,1186,776,516,1437
14:29:38:438417,2029,-1832,-8242,13893,-313,-2176,1186,776,516,1437
14:29:38:444435,2029,-1832,-8242,13893,-313,-2176,1186,776,516,1437
14:29:38:452022,1929,-2037,-8006,14016,-240,-1821,1193,1186,782,1269
14:29:38:459453,1929,-2037,-8006,14016,-240,-1821,1193,1186,782,1269
14:29:38:466902,1929,-2037,-8006,14016,-240,-1821,1193,1186,782,1269
14:29:38:475194,1842,-2267,-7770,14125,-400,-1540,1198,1086,915,1207
14:29:38:475948,1842,-2267,-7770,14125,-400,-1540,1198,1086,915,1207
14:29:38:489418,1842,-2267,-7770,14125,-400,-1540,1198,1086,915,1207
14:29:38:497682,1730,-2491,-7617,14185,-583,-1550,1205,562,773,1162
14:29:38:498429,1730,-2491,-7617,14185,-583,-1550,1205,562,773,1162
14:29:38:504407,1730,-2491,-7617,14185,-583,-1550,1205,562,773,1162
14:29:38:511925,1606,-2691,-7536,14206,-584,-1592,1135,159,627,1105
14:29:38:519412,1606,-2691,-7536,14206,-584,-1592,1135,159,627,1105
14:29:38:526911,1606,-2691,-7536,14206,-584,-1592,1135,159,627,1105
14:29:38:535160,1487,-2859,-7490,14211,-571,-1679,1137,1,506,998
14:29:38:535911,1487,-2859,-7490,14211,-571,-1679,1137,1,506,998
14:29:38:549473,1487,-2859,-7490,14211,-571,-1679,1137,1,506,998
14:29:38:557689,1378,-3000,-7458,14209,-550,-1704,1124,-50,412,899
14:29:38:558414,1378,-3000,-7458,14209,-550,-1704,1124,-50,412,899
14:29:38:564432,1378,-3000,-7458,14209,-550,-1704,1124,-50,412,899
14:29:38:571946,1275,-3120,-7452,14196,-591,-1738,1025,-137,317,784
14:29:38:579462,1275,-3120,-7452,14196,-591,-1738,1025,-137,317,784
14:29:38:586924,1275,-3120,-7452,14196,-591,-1738,1025,-137,317,784
14:29:38:602660,1186,-3215,-7444,14187,-606,-1751,999,-79,227,671
14:29:38:603429,1186,-3215,-7444,14187,-606,-1751,999,-79,227,671
14:29:38:609430,1186,-3215,-7444,14187,-606,-1751,999,-79,227,671
14:29:38:617647,1111,-3290,-7438,14179,-559,-1777,918,-20,172,585
14:29:38:618390,1111,-3290,-7438,14179,-559,-1777,918,-20,172,585
14:29:38:624433,1111,-3290,-7438,14179,-559,-1777,918,-20,172,585
14:29:38:632027,1045,-3348,-7414,14183,-531,-1732,953,93,126,541
14:29:38:639388,1045,-3348,-7414,14183,-531,-1732,953,93,126,541
14:29:38:646887,1045,-3348,-7414,14183,-531,-1732,953,93,126,541
14:29:38:655178,989,-3387,-7379,14196,-536,-1690,937,176,52,460
14:29:38:655945,989,-3387,-7379,14196,-536,-1690,937,176,52,460
14:29:38:669406,989,-3387,-7379,14196,-536,-1690,937,176,52,460
14:29:38:685838,941,-3409,-7361,14204,-502,-1631,940,88,0,364
14:29:38:686578,941,-3409,-7361,14204,-502,-1631,940,88,0,364
14:29:38:687437,941,-3409,-7361,14204,-502,-1631,940,88,0,364
14:29:38:691893,908,-3415,-7359,14205,-376,-1692,949,26,4,307
14:29:38:699403,908,-3415,-7359,14205,-376,-1692,949,26,4,307
14:29:38:706910,908,-3415,-7359,14205,-376,-1692,949,26,4,307
14:29:38:715159,882,-3424,-7349,14210,-336,-1667,977,63,47,295
14:29:38:715900,882,-3424,-7349,14210,-336,-1667,977,63,47,295
14:29:38:729429,882,-3424,-7349,14210,-336,-1667,977,63,47,295
14:29:38:737666,854,-3431,-7335,14217,-374,-1602,988,66,30,291
14:29:38:738403,854,-3431,-7335,14217,-374,-1602,988,66,30,291
14:29:38:744414,854,-3431,-7335,14217,-374,-1602,988,66,30,291
14:29:38:752047,821,-3427,-7349,14213,-401,-1561,921,-80,-53,230
14:29:38:759403,821,-3427,-7349,14213,-401,-1561,921,-80,-53,230
14:29:38:766907,821,-3427,-7349,14213,-401,-1561,921,-80,-53,230
14:29:38:775163,794,-3407,-7380,14203,-345,-1603,950,-176,-94,166
14:29:38:775909,794,-3407,-7380,14203,-345,-1603,950,-176,-94,166
14:29:38:789434,794,-3407,-7380,14203,-345,-1603,950,-176,-94,166
14:29:38:797671,786,-3378,-7408,14196,-265,-1653,943,-113,-71,101
14:29:38:798404,786,-3378,-7408,14196,-265,-1653,943,-113,-71,101
14:29:38:804401,786,-3378,-7408,14196,-265,-1653,943,-113,-71,101
14:29:38:812032,786,-3356,-7421,14194,-303,-1652,989,-40,-23,75
14:29:38:819415,786,-3356,-7421,14194,-303,-1652,989,-40,-23,75
14:29:38:826896,786,-3356,-7421,14194,-303,-1652,989,-40,-23,75
14:29:38:835171,789,-3347,-7433,14190,-395,-1641,982,-40,25,51
14:29:38:835925,789,-3347,-7433,14190,-395,-1641,982,-40,25,51
14:29:38:849406,789,-3347,-7433,14190,-395,-1641,982,-40,25,51
14:29:38:857699,788,-3337,-7451,14183,-463,-1601,988,-99,-11,22
14:29:38:858398,788,-3337,-7451,14183,-463,-1601,988,-99,-11,22
14:29:38:864406,788,-3337,-7451,14183,-463,-1601,988,-99,-11,22
14:29:38:871944,777,-3324,-7484,14169,-484,-1573,976,-209,-52,30
14:29:38:879412,777,-3324,-7484,14169,-484,-1573,976,-209,-52,30
14:29:38:886926,777,-3324,-7484,14169,-484,-1573,976,-209,-52,30
14:29:38:895168,767,-3310,-7534,14147,-481,-1590,1000,-321,-45,3
14:29:38:895908,767,-3310,-7534,14147,-481,-1590,1000,-321,-45,3
14:29:38:909412,767,-3310,-7534,14147,-481,-1590,1000,-321,-45,3
14:29:38:917673,767,-3291,-7596,14118,-483,-1643,1026,-389,-34,-72
14:29:38:918419,767,-3291,-7596,14118,-483,-1643,1026,-389,-34,-72
14:29:38:924446,767,-3291,-7596,14118,-483,-1643,1026,-389,-34,-72
14:29:38:931925,775,-3269,-7656,14090,-526,-1702,1040,-365,-39,-127
14:29:38:939432,775,-3269,-7656,14090,-526,-1702,1040,-365,-39,-127
14:29:38:946902,775,-3269,-7656,14090,-526,-1702,1040,-365,-39,-127
14:29:38:955168,779,-3244,-7708,14068,-534,-1773,1025,-297,-74,-105
14:29:38:955925,779,-3244,-7708,14068,-534,-1773,1025,-297,-74,-105
14:29:38:969413,779,-3244,-7708,14068,-534,-1773,1025,-297,-74,-105
14:29:38:977684,779,-3221,-7736,14057,-501,-1759,1000,-151,-75,-39
14:29:38:978434,779,-3221,-7736,14057,-501,-1759,1000,-151,-75,-39
14:29:38:984446,779,-3221,-7736,14057,-501,-1759,1000,-151,-75,-39
14:29:38:991901,780,-3200,-7749,14054,-464,-1743,985,-61,-62,-11
14:29:38:999394,780,-3200,-7749,14054,-464,-1743,985,-61,-62,-11
14:29:39:6907,780,-3200,-7749,14054,-464,-1743,985,-61,-62,-11
14:29:39:15147,767,-3188,-7760,14052,-561,-1723,993,-73,-83,38
14:29:39:15891,767,-3188,-7760,14052,-561,-1723,993,-73,-83,38
14:29:39:29410,767,-3188,-7760,14052,-561,-1723,993,-73,-83,38
14:29:39:37685,746,-3179,-7775,14047,-602,-1750,974,-97,-100,57
14:29:39:38424,746,-3179,-7775,14047,-602,-1750,974,-97,-100,57
14:29:39:44427,746,-3179,-7775,14047,-602,-1750,974,-97,-100,57
14:29:39:52025,729,-3170,-7782,14046,-600,-1727,1004,-60,-85,51
14:29:39:59417,729,-3170,-7782,14046,-600,-1727,1004,-60,-85,51
14:29:39:66908,729,-3170,-7782,14046,-600,-1727,1004,-60,-85,51
14:29:39:75172,714,-3165,-7785,14046,-604,-1658,1011,-60,-65,43
14:29:39:75909,714,-3165,-7785,14046,-604,-1658,1011,-60,-65,43
14:29:39:89430,714,-3165,-7785,14046,-604,-1658,1011,-60,-65,43
14:29:39:98033,699,-3157,-7808,14036,-636,-1660,1023,-189,-75,-5
14:29:39:105156,699,-3157,-7808,14036,-636,-1660,1023,-189,-75,-5
14:29:39:105897,699,-3157,-7808,14036,-636,-1660,1023,-189,-75,-5
14:29:39:112049,688,-3150,-7854,14012,-677,-1717,1001,-317,-59,-59
14:29:39:119433,688,-3150,-7854,14012,-677,-1717,1001,-317,-59,-59
14:29:39:126889,688,-3150,-7854,14012,-677,-1717,1001,-317,-59,-59
14:29:39:136152,686,-3133,-7892,13995,-683,-1783,1006,-240,-93,-117
14:29:39:141903,686,-3133,-7892,13995,-683,-1783,1006,-240,-93,-117
14:29:39:149407,686,-3133,-7892,13995,-683,-1783,1006,-240,-93,-117
14:29:39:157716,690,-3105,-7911,13991,-624,-1730,996,-111,-131,-133
14:29:39:158430,690,-3105,-7911,13991,-624,-1730,996,-111,-131,-133
14:29:39:164436,690,-3105,-7911,13991,-624,-1730,996,-111,-131,-133
14:29:39:171907,694,-3078,-7927,13987,-610,-1704,965,-90,-123,-134
14:29:39:179421,694,-3078,-7927,13987,-610,-1704,965,-90,-123,-134
14:29:39:186954,694,-3078,-7927,13987,-610,-1704,965,-90,-123,-134
