Time,ORI1,ORI2,ORI3,ORI4,ACC1,ACC2,ACC3,GYR1,GYR2,GYR3
18:07:16:365340,-10202,7629,6424,8054,1900,-417,542,136,38,63
18:07:16:373710,-10202,7629,6424,8054,1900,-417,542,136,38,63
18:07:16:374413,-10224,7616,6425,8038,1908,-430,543,142,33,61
18:07:16:380332,-10224,7616,6425,8038,1908,-430,543,142,33,61
18:07:16:396057,-10224,7616,6425,8038,1908,-430,543,142,33,61
18:07:16:396842,-10246,7601,6428,8022,1889,-447,533,159,33,50
18:07:16:402826,-10246,7601,6428,8022,1889,-447,533,159,33,50
18:07:16:410423,-10246,7601,6428,8022,1889,-447,533,159,33,50
18:07:16:417897,-10269,7581,6436,8005,1879,-420,522,193,32,42
18:07:16:425450,-10269,7581,6436,8005,1879,-420,522,193,32,42
18:07:16:433562,-10269,7581,6436,8005,1879,-420,522,193,32,42
18:07:16:434395,-10292,7557,6448,7988,1885,-406,526,216,31,35
18:07:16:440470,-10292,7557,6448,7988,1885,-406,526,216,31,35
18:07:16:456233,-10292,7557,6448,7988,1885,-406,526,216,31,35
18:07:16:456878,-10315,7531,6463,7971,1896,-375,531,227,27,28
18:07:16:462838,-10315,7531,6463,7971,1896,-375,531,227,27,28
18:07:16:470351,-10315,7531,6463,7971,1896,-375,531,227,27,28
18:07:16:478031,-10335,7505,6479,7956,1895,-363,531,216,23,24
18:07:16:485442,-10335,7505,6479,7956,1895,-363,531,216,23,24
18:07:16:493767,-10335,7505,6479,7956,1895,-363,531,216,23,24
18:07:16:494450,-10352,7483,6494,7942,1898,-353,530,187,13,26
18:07:16:500357,-10352,7483,6494,7942,1898,-353,530,187,13,26
18:07:16:516087,-10352,7483,6494,7942,1898,-353,530,187,13,26
18:07:16:516893,-10368,7464,6507,7928,1903,-372,533,173,9,25
18:07:16:531000,-10368,7464,6507,7928,1903,-372,533,173,9,25
18:07:16:531802,-10368,7464,6507,7928,1903,-372,533,173,9,25
18:07:16:537924,-10385,7445,6523,7913,1899,-374,523,187,3,23
18:07:16:545369,-10385,7445,6523,7913,1899,-374,523,187,3,23
18:07:16:553614,-10385,7445,6523,7913,1899,-374,523,187,3,23
18:07:16:554379,-10401,7424,6541,7896,1896,-369,526,199,-8,18
18:07:16:560503,-10401,7424,6541,7896,1896,-369,526,199,-8,18
18:07:16:576203,-10401,7424,6541,7896,1896,-369,526,199,-8,18
18:07:16:576922,-10416,7404,6560,7879,1887,-364,528,197,-12,15
18:07:16:591104,-10416,7404,6560,7879,1887,-364,528,197,-12,15
18:07:16:591852,-10416,7404,6560,7879,1887,-364,528,197,-12,15
18:07:16:597927,-10431,7384,6577,7864,1871,-354,529,188,-8,14
18:07:16:605466,-10431,7384,6577,7864,1871,-354,529,188,-8,14
18:07:16:613598,-10431,7384,6577,7864,1871,-354,529,188,-8,14
18:07:16:614410,-10444,7366,6592,7850,1870,-357,522,168,-3,12
18:07:16:620358,-10444,7366,6592,7850,1870,-357,522,168,-3,12
18:07:16:644366,-10444,7366,6592,7850,1870,-357,522,168,-3,12
18:07:16:645027,-10456,7350,6606,7838,1868,-348,520,152,1,17
18:07:16:645806,-10456,7350,6606,7838,1868,-348,520,152,1,17
18:07:16:650353,-10456,7350,6606,7838,1868,-348,520,152,1,17
18:07:16:658001,-10467,7337,6617,7827,1877,-357,509,126,5,17
18:07:16:665336,-10467,7337,6617,7827,1877,-357,509,126,5,17
18:07:16:673696,-10467,7337,6617,7827,1877,-357,509,126,5,17
18:07:16:674413,-10476,7327,6625,7817,1882,-367,526,107,5,19
18:07:16:680333,-10476,7327,6625,7817,1882,-367,526,107,5,19
18:07:16:704244,-10476,7327,6625,7817,1882,-367,526,107,5,19
18:07:16:704979,-10486,7317,6632,7807,1888,-366,525,100,8,21
18:07:16:705824,-10486,7317,6632,7807,1888,-366,525,100,8,21
18:07:16:710433,-10486,7317,6632,7807,1888,-366,525,100,8,21
18:07:16:717863,-10496,7306,6640,7796,1888,-369,528,111,4,26
18:07:16:725466,-10496,7306,6640,7796,1888,-369,528,111,4,26
18:07:16:733616,-10496,7306,6640,7796,1888,-369,528,111,4,26
18:07:16:734328,-10506,7297,6650,7783,1887,-365,517,116,-3,33
18:07:16:740400,-10506,7297,6650,7783,1887,-365,517,116,-3,33
18:07:16:756691,-10506,7297,6650,7783,1887,-365,517,116,-3,33
18:07:16:757401,-10517,7288,6659,7769,1884,-361,533,117,-14,37
18:07:16:762816,-10517,7288,6659,7769,1884,-361,533,117,-14,37
18:07:16:770289,-10517,7288,6659,7769,1884,-361,533,117,-14,37
18:07:16:777905,-10527,7279,6670,7754,1870,-360,533,118,-23,36
18:07:16:785344,-10527,7279,6670,7754,1870,-360,533,118,-23,36
18:07:16:801763,-10527,7279,6670,7754,1870,-360,533,118,-23,36
18:07:16:808619,-10536,7273,6681,7738,1877,-367,531,110,-39,40
18:07:16:809385,-10536,7273,6681,7738,1877,-367,531,110,-39,40
18:07:16:816020,-10536,7273,6681,7738,1877,-367,531,110,-39,40
18:07:16:816851,-10544,7268,6692,7722,1891,-376,543,102,-49,38
18:07:16:822960,-10544,7268,6692,7722,1891,-376,543,102,-49,38
18:07:16:830335,-10544,7268,6692,7722,1891,-376,543,102,-49,38
18:07:16:837949,-10551,7264,6705,7706,1900,-380,530,107,-47,32
18:07:16:845336,-10551,7264,6705,7706,1900,-380,530,107,-47,32
18:07:16:860901,-10551,7264,6705,7706,1900,-380,530,107,-47,32
18:07:16:868547,-10558,7257,6718,7691,1906,-365,532,108,-44,29
18:07:16:869348,-10558,7257,6718,7691,1906,-365,532,108,-44,29
18:07:16:876127,-10558,7257,6718,7691,1906,-365,532,108,-44,29
18:07:16:876948,-10564,7251,6730,7679,1893,-341,529,94,-38,32
18:07:16:882817,-10564,7251,6730,7679,1893,-341,529,94,-38,32
18:07:16:890477,-10564,7251,6730,7679,1893,-341,529,94,-38,32
18:07:16:897917,-10569,7246,6738,7669,1886,-317,532,66,-23,45
18:07:16:905582,-10569,7246,6738,7669,1886,-317,532,66,-23,45
18:07:16:921705,-10569,7246,6738,7669,1886,-317,532,66,-23,45
18:07:16:922550,-10574,7244,6741,7661,1888,-313,534,38,-12,59
18:07:16:923346,-10574,7244,6741,7661,1888,-313,534,38,-12,59
18:07:16:936080,-10574,7244,6741,7661,1888,-313,534,38,-12,59
18:07:16:936833,-10578,7246,6741,7654,1918,-326,528,13,-4,68
18:07:16:943039,-10578,7246,6741,7654,1918,-326,528,13,-4,68
18:07:16:950324,-10578,7246,6741,7654,1918,-326,528,13,-4,68
18:07:16:958003,-10583,7249,6739,7646,1929,-357,533,10,2,71
18:07:16:965367,-10583,7249,6739,7646,1929,-357,533,10,2,71
18:07:16:974085,-10583,7249,6739,7646,1929,-357,533,10,2,71
18:07:16:981093,-10591,7249,6735,7638,1905,-355,557,24,4,71
18:07:16:981913,-10591,7249,6735,7638,1905,-355,557,24,4,71
18:07:16:996075,-10591,7249,6735,7638,1905,-355,557,24,4,71
18:07:16:996866,-10600,7249,6733,7628,1877,-379,545,40,1,64
18:07:17:2844,-10600,7249,6733,7628,1877,-379,545,40,1,64
18:07:17:10406,-10600,7249,6733,7628,1877,-379,545,40,1,64
18:07:17:34909,-10607,7248,6734,7618,1870,-375,538,45,-13,51
18:07:17:35705,-10607,7248,6734,7618,1870,-375,538,45,-13,51
18:07:17:36522,-10607,7248,6734,7618,1870,-375,538,45,-13,51
18:07:17:37356,-10614,7247,6738,7606,1857,-414,543,61,-28,27
18:07:17:40433,-10614,7247,6738,7606,1857,-414,543,61,-28,27
18:07:17:56191,-10614,7247,6738,7606,1857,-414,543,61,-28,27
18:07:17:56845,-10620,7242,6747,7594,1862,-422,550,86,-45,4
18:07:17:62812,-10620,7242,6747,7594,1862,-422,550,86,-45,4
18:07:17:70403,-10620,7242,6747,7594,1862,-422,550,86,-45,4
18:07:17:86129,-10625,7234,6761,7583,1877,-413,540,108,-50,-16
18:07:17:86832,-10625,7234,6761,7583,1877,-413,540,108,-50,-16
18:07:17:93620,-10625,7234,6761,7583,1877,-413,540,108,-50,-16
18:07:17:94345,-10628,7226,6778,7572,1901,-407,516,115,-49,-29
18:07:17:100296,-10628,7226,6778,7572,1901,-407,516,115,-49,-29
18:07:17:116021,-10628,7226,6778,7572,1901,-407,516,115,-49,-29
18:07:17:116827,-10629,7215,6797,7563,1914,-367,523,111,-48,-32
18:07:17:122973,-10629,7215,6797,7563,1914,-367,523,111,-48,-32
18:07:17:130373,-10629,7215,6797,7563,1914,-367,523,111,-48,-32
18:07:17:137886,-10629,7204,6816,7556,1929,-345,526,100,-46,-26
18:07:17:145314,-10629,7204,6816,7556,1929,-345,526,100,-46,-26
18:07:17:153529,-10629,7204,6816,7556,1929,-345,526,100,-46,-26
18:07:17:154366,-10630,7194,6830,7551,1924,-320,534,78,-33,-7
18:07:17:167890,-10630,7194,6830,7551,1924,-320,534,78,-33,-7
18:07:17:176149,-10630,7194,6830,7551,1924,-320,534,78,-33,-7
18:07:17:176871,-10632,7189,6839,7546,1925,-321,520,52,-18,17
18:07:17:182808,-10632,7189,6839,7546,1925,-321,520,52,-18,17
18:07:17:198966,-10632,7189,6839,7546,1925,-321,520,52,-18,17
18:07:17:206259,-10634,7188,6843,7540,1915,-337,515,29,-9,37
18:07:17:206846,-10634,7188,6843,7540,1915,-337,515,29,-9,37
18:07:17:213519,-10634,7188,6843,7540,1915,-337,515,29,-9,37
18:07:17:214339,-10638,7190,6842,7533,1918,-359,529,15,-6,49
18:07:17:227886,-10638,7190,6842,7533,1918,-359,529,15,-6,49
18:07:17:235769,-10638,7190,6842,7533,1918,-359,529,15,-6,49
18:07:17:243618,-10643,7193,6839,7526,1890,-386,523,15,2,48
18:07:17:244339,-10643,7193,6839,7526,1890,-386,523,15,2,48
18:07:17:258699,-10643,7193,6839,7526,1890,-386,523,15,2,48
18:07:17:259404,-10649,7195,6836,7519,1870,-398,516,19,8,38
18:07:17:265347,-10649,7195,6836,7519,1870,-398,516,19,8,38
18:07:17:273631,-10649,7195,6836,7519,1870,-398,516,19,8,38
18:07:17:274336,-10652,7196,6833,7514,1865,-398,515,11,7,20
18:07:17:287859,-10652,7196,6833,7514,1865,-398,515,11,7,20
18:07:17:296040,-10652,7196,6833,7514,1865,-398,515,11,7,20
18:07:17:296817,-10653,7197,6833,7514,1866,-405,523,-2,2,0
18:07:17:302834,-10653,7197,6833,7514,1866,-405,523,-2,2,0
18:07:17:318579,-10653,7197,6833,7514,1866,-405,523,-2,2,0
18:07:17:319362,-10651,7199,6832,7515,1864,-403,523,-14,-3,-20
18:07:17:334223,-10651,7199,6832,7515,1864,-403,523,-14,-3,-20
18:07:17:335031,-10651,7199,6832,7515,1864,-403,523,-14,-3,-20
18:07:17:335850,-10647,7201,6833,7518,1877,-390,527,-18,-9,-28
18:07:17:347832,-10647,7201,6833,7518,1877,-390,527,-18,-9,-28
18:07:17:364245,-10641,7203,6836,7521,1917,-383,534,-23,-22,-28
18:07:17:364997,-10641,7203,6836,7521,1917,-383,534,-23,-22,-28
18:07:17:365822,-10641,7203,6836,7521,1917,-383,534,-23,-22,-28
18:07:17:378552,-10634,7208,6841,7523,1958,-405,528,-20,-33,-34
18:07:17:379332,-10634,7208,6841,7523,1958,-405,528,-20,-33,-34
18:07:17:385342,-10634,7208,6841,7523,1958,-405,528,-20,-33,-34
18:07:17:393662,-10629,7209,6848,7521,1956,-417,538,10,-42,-38
18:07:17:394393,-10629,7209,6848,7521,1956,-417,538,10,-42,-38
18:07:17:416740,-10629,7209,6848,7521,1956,-417,538,10,-42,-38
18:07:17:417540,-10627,7207,6858,7518,1952,-403,521,40,-31,-31
18:07:17:418367,-10627,7207,6858,7518,1952,-403,521,40,-31,-31
18:07:17:423009,-10627,7207,6858,7518,1952,-403,521,40,-31,-31
18:07:17:438700,-10628,7201,6867,7514,1968,-391,512,60,-10,-21
18:07:17:439401,-10628,7201,6867,7514,1968,-391,512,60,-10,-21
18:07:17:445334,-10628,7201,6867,7514,1968,-391,512,60,-10,-21
18:07:17:453563,-10632,7193,6874,7510,1977,-395,533,63,2,-19
18:07:17:454364,-10632,7193,6874,7510,1977,-395,533,63,2,-19
18:07:17:476572,-10632,7193,6874,7510,1977,-395,533,63,2,-19
18:07:17:477292,-10636,7182,6878,7510,1979,-386,552,63,22,-28
18:07:17:483489,-10636,7182,6878,7510,1979,-386,552,63,22,-28
18:07:17:484289,-10636,7182,6878,7510,1979,-386,552,63,22,-28
18:07:17:498564,-10642,7168,6878,7516,1924,-365,526,50,66,-34
18:07:17:499344,-10642,7168,6878,7516,1924,-365,526,50,66,-34
18:07:17:505531,-10642,7168,6878,7516,1924,-365,526,50,66,-34
18:07:17:513942,-10647,7154,6871,7527,1879,-346,523,19,105,-34
18:07:17:520329,-10647,7154,6871,7527,1879,-346,523,19,105,-34
18:07:17:536694,-10647,7154,6871,7527,1879,-346,523,19,105,-34
18:07:17:537498,-10649,7146,6858,7545,1853,-326,505,-43,127,-32
18:07:17:538306,-10649,7146,6858,7545,1853,-326,505,-43,127,-32
18:07:17:543001,-10649,7146,6858,7545,1853,-326,505,-43,127,-32
18:07:17:558606,-10648,7142,6840,7566,1833,-337,500,-82,139,-37
18:07:17:559328,-10648,7142,6840,7566,1833,-337,500,-82,139,-37
18:07:17:565370,-10648,7142,6840,7566,1833,-337,500,-82,139,-37
18:07:17:589414,-10645,7142,6820,7588,1851,-364,513,-109,130,-47
18:07:17:589987,-10645,7142,6820,7588,1851,-364,513,-109,130,-47
18:07:17:590864,-10645,7142,6820,7588,1851,-364,513,-109,130,-47
18:07:17:596091,-10638,7144,6802,7613,1862,-372,511,-125,120,-68
18:07:17:596884,-10638,7144,6802,7613,1862,-372,511,-125,120,-68
18:07:17:602826,-10638,7144,6802,7613,1862,-372,511,-125,120,-68
18:07:17:618597,-10628,7146,6787,7638,1846,-358,495,-126,108,-81
18:07:17:619330,-10628,7146,6787,7638,1846,-358,495,-126,108,-81
18:07:17:649880,-10628,7146,6787,7638,1846,-358,495,-126,108,-81
18:07:17:650681,-10613,7152,6774,7665,1843,-321,485,-154,92,-73
18:07:17:651479,-10613,7152,6774,7665,1843,-321,485,-154,92,-73
18:07:17:652292,-10613,7152,6774,7665,1843,-321,485,-154,92,-73
18:07:17:656240,-10591,7168,6759,7693,1858,-289,468,-215,68,-56
18:07:17:656884,-10591,7168,6759,7693,1858,-289,468,-215,68,-56
18:07:17:662847,-10591,7168,6759,7693,1858,-289,468,-215,68,-56
18:07:17:678599,-10565,7192,6743,7722,1883,-282,470,-264,48,-42
18:07:17:679327,-10565,7192,6743,7722,1883,-282,470,-264,48,-42
18:07:17:701671,-10565,7192,6743,7722,1883,-282,470,-264,48,-42
18:07:17:702498,-10535,7222,6724,7750,1888,-273,462,-300,37,-24
18:07:17:703282,-10535,7222,6724,7750,1888,-273,462,-300,37,-24
18:07:17:707992,-10535,7222,6724,7750,1888,-273,462,-300,37,-24
18:07:17:716053,-10504,7258,6704,7777,1908,-276,453,-326,22,1
18:07:17:716834,-10504,7258,6704,7777,1908,-276,453,-326,22,1
18:07:17:722957,-10504,7258,6704,7777,1908,-276,453,-326,22,1
18:07:17:738694,-10473,7299,6679,7801,1924,-298,468,-350,11,21
18:07:17:739353,-10473,7299,6679,7801,1924,-298,468,-350,11,21
18:07:17:745385,-10473,7299,6679,7801,1924,-298,468,-350,11,21
18:07:17:761055,-10438,7346,6652,7827,1911,-305,472,-387,-6,21
18:07:17:761830,-10438,7346,6652,7827,1911,-305,472,-387,-6,21
18:07:17:767851,-10438,7346,6652,7827,1911,-305,472,-387,-6,21
18:07:17:776174,-10404,7394,6626,7849,1909,-343,471,-376,-24,21
18:07:17:776838,-10404,7394,6626,7849,1909,-343,471,-376,-24,21
18:07:17:782855,-10404,7394,6626,7849,1909,-343,471,-376,-24,21
18:07:17:807399,-10371,7439,6601,7872,1884,-358,491,-359,-37,4
18:07:17:807991,-10371,7439,6601,7872,1884,-358,491,-359,-37,4
18:07:17:808807,-10371,7439,6601,7872,1884,-358,491,-359,-37,4
18:07:17:821128,-10335,7483,6580,7895,1895,-363,498,-356,-51,-16
18:07:17:821930,-10335,7483,6580,7895,1895,-363,498,-356,-51,-16
18:07:17:827932,-10335,7483,6580,7895,1895,-363,498,-356,-51,-16
18:07:17:836134,-10295,7526,6561,7921,1901,-361,498,-367,-65,-43
18:07:17:836867,-10295,7526,6561,7921,1901,-361,498,-367,-65,-43
18:07:17:842916,-10295,7526,6561,7921,1901,-361,498,-367,-65,-43
18:07:17:858443,-10251,7570,6541,7952,1914,-357,529,-396,-79,-66
18:07:17:865996,-10251,7570,6541,7952,1914,-357,529,-396,-79,-66
18:07:17:866788,-10251,7570,6541,7952,1914,-357,529,-396,-79,-66
18:07:17:881077,-10204,7616,6522,7986,1914,-361,530,-418,-87,-85
18:07:17:881861,-10204,7616,6522,7986,1914,-361,530,-418,-87,-85
18:07:17:887850,-10204,7616,6522,7986,1914,-361,530,-418,-87,-85
18:07:17:920574,-10154,7660,6500,8024,1904,-360,555,-436,-86,-102
18:07:17:921299,-10154,7660,6500,8024,1904,-360,555,-436,-86,-102
18:07:17:922232,-10154,7660,6500,8024,1904,-360,555,-436,-86,-102
18:07:17:922952,-10107,7700,6480,8062,1888,-357,576,-417,-91,-107
18:07:17:926098,-10107,7700,6480,8062,1888,-357,576,-417,-91,-107
18:07:17:926804,-10107,7700,6480,8062,1888,-357,576,-417,-91,-107
18:07:17:941149,-10062,7738,6461,8097,1888,-367,589,-389,-103,-102
18:07:17:941850,-10062,7738,6461,8097,1888,-367,589,-389,-103,-102
18:07:17:947837,-10062,7738,6461,8097,1888,-367,589,-389,-103,-102
18:07:17:956253,-10023,7772,6445,8126,1885,-375,615,-344,-121,-93
18:07:17:956868,-10023,7772,6445,8126,1885,-375,615,-344,-121,-93
18:07:17:962846,-10023,7772,6445,8126,1885,-375,615,-344,-121,-93
18:07:17:978311,-9990,7802,6428,8150,1883,-430,628,-301,-119,-91
18:07:17:985979,-9990,7802,6428,8150,1883,-430,628,-301,-119,-91
18:07:17:986812,-9990,7802,6428,8150,1883,-430,628,-301,-119,-91
18:07:18:1054,-9967,7823,6418,8166,1916,-465,594,-197,-93,-91
18:07:18:1837,-9967,7823,6418,8166,1916,-465,594,-197,-93,-91
18:07:18:7906,-9967,7823,6418,8166,1916,-465,594,-197,-93,-91
18:07:18:31741,-9954,7829,6415,8179,1933,-457,571,-93,-49,-98
18:07:18:32519,-9954,7829,6415,8179,1933,-457,571,-93,-49,-98
18:07:18:33341,-9954,7829,6415,8179,1933,-457,571,-93,-49,-98
18:07:18:38691,-9943,7824,6414,8198,1930,-415,588,-59,-13,-118
18:07:18:39338,-9943,7824,6414,8198,1930,-415,588,-59,-13,-118
18:07:18:45390,-9943,7824,6414,8198,1930,-415,588,-59,-13,-118
18:07:18:61111,-9928,7822,6407,8223,1920,-379,594,-123,3,-118
18:07:18:61807,-9928,7822,6407,8223,1920,-379,594,-123,3,-118
18:07:18:67851,-9928,7822,6407,8223,1920,-379,594,-123,3,-118
18:07:18:76129,-9905,7833,6387,8256,1881,-375,574,-239,18,-99
18:07:18:76831,-9905,7833,6387,8256,1881,-375,574,-239,18,-99
18:07:18:82848,-9905,7833,6387,8256,1881,-375,574,-239,18,-99
18:07:18:98533,-9881,7861,6350,8287,1853,-456,540,-328,42,-67
18:07:18:99333,-9881,7861,6350,8287,1853,-456,540,-328,42,-67
18:07:18:105578,-9881,7861,6350,8287,1853,-456,540,-328,42,-67
18:07:18:121086,-9862,7892,6307,8312,1838,-513,509,-317,56,-32
18:07:18:121883,-9862,7892,6307,8312,1838,-513,509,-317,56,-32
18:07:18:127913,-9862,7892,6307,8312,1838,-513,509,-317,56,-32
18:07:18:136054,-9853,7918,6267,8329,1854,-552,501,-242,70,-12
18:07:18:136840,-9853,7918,6267,8329,1854,-552,501,-242,70,-12
18:07:18:150398,-9853,7918,6267,8329,1854,-552,501,-242,70,-12
18:07:18:158671,-9852,7935,6235,8338,1861,-556,496,-153,68,2
18:07:18:159392,-9852,7935,6235,8338,1861,-556,496,-153,68,2
18:07:18:165329,-9852,7935,6235,8338,1861,-556,496,-153,68,2
18:07:18:173002,-9855,7951,6209,8339,1863,-550,501,-101,34,20
18:07:18:188494,-9855,7951,6209,8339,1863,-550,501,-101,34,20
18:07:18:189334,-9855,7951,6209,8339,1863,-550,501,-101,34,20
18:07:18:196068,-9858,7967,6188,8335,1872,-531,510,-87,4,47
18:07:18:196865,-9858,7967,6188,8335,1872,-531,510,-87,4,47
18:07:18:210451,-9858,7967,6188,8335,1872,-531,510,-87,4,47
18:07:18:218526,-9864,7987,6167,8325,1880,-548,511,-73,-19,75
18:07:18:219359,-9864,7987,6167,8325,1880,-548,511,-73,-19,75
18:07:18:225506,-9864,7987,6167,8325,1880,-548,511,-73,-19,75
18:07:18:232929,-9872,8009,6154,8304,1892,-493,490,-37,-65,131
18:07:18:248506,-9872,8009,6154,8304,1892,-493,490,-37,-65,131
18:07:18:249280,-9872,8009,6154,8304,1892,-493,490,-37,-65,131
18:07:18:256250,-9880,8039,6146,8270,1916,-457,481,-29,-137,210
18:07:18:256868,-9880,8039,6146,8270,1916,-457,481,-29,-137,210
18:07:18:270344,-9880,8039,6146,8270,1916,-457,481,-29,-137,210
18:07:18:278568,-9894,8079,6135,8223,1960,-456,389,-16,-128,312
18:07:18:279363,-9894,8079,6135,8223,1960,-456,389,-16,-128,312
18:07:18:285360,-9894,8079,6135,8223,1960,-456,389,-16,-128,312
18:07:18:293112,-9928,8120,6107,8163,1918,-507,400,15,-76,439
18:07:18:300338,-9928,8120,6107,8163,1918,-507,400,15,-76,439
18:07:18:307928,-9928,8120,6107,8163,1918,-507,400,15,-76,439
18:07:18:316085,-9983,8162,6056,8092,1901,-554,390,32,8,588
18:07:18:316884,-9983,8162,6056,8092,1901,-554,390,32,8,588
18:07:18:330364,-9983,8162,6056,8092,1901,-554,390,32,8,588
18:07:18:338578,-10055,8206,5977,8016,1869,-648,404,18,113,700
18:07:18:339432,-10055,8206,5977,8016,1869,-648,404,18,113,700
18:07:18:345361,-10055,8206,5977,8016,1869,-648,404,18,113,700
18:07:18:361143,-10136,8257,5877,7936,1821,-736,409,-27,175,782
18:07:18:361846,-10136,8257,5877,7936,1821,-736,409,-27,175,782
18:07:18:367824,-10136,8257,5877,7936,1821,-736,409,-27,175,782
18:07:18:376180,-10224,8315,5759,7848,1786,-828,414,-59,200,861
18:07:18:376892,-10224,8315,5759,7848,1786,-828,414,-59,200,861
18:07:18:390378,-10224,8315,5759,7848,1786,-828,414,-59,200,861
18:07:18:398585,-10326,8369,5634,7747,1779,-941,452,9,214,924
18:07:18:399381,-10326,8369,5634,7747,1779,-941,452,9,214,924
18:07:18:405549,-10326,8369,5634,7747,1779,-941,452,9,214,924
18:07:18:412908,-10439,8408,5510,7641,1768,-973,481,105,248,946
18:07:18:420389,-10439,8408,5510,7641,1768,-973,481,105,248,946
18:07:18:427982,-10439,8408,5510,7641,1768,-973,481,105,248,946
18:07:18:444346,-10557,8435,5384,7540,1748,-963,509,136,301,952
18:07:18:444999,-10557,8435,5384,7540,1748,-963,509,136,301,952
18:07:18:459376,-10557,8435,5384,7540,1748,-963,509,136,301,952
18:07:18:459991,-10668,8460,5255,7445,1762,-983,507,105,338,935
18:07:18:460807,-10668,8460,5255,7445,1762,-983,507,105,338,935
18:07:18:465304,-10668,8460,5255,7445,1762,-983,507,105,338,935
18:07:18:473085,-10774,8483,5130,7353,1761,-994,513,105,335,917
18:07:18:480344,-10774,8483,5130,7353,1761,-994,513,105,335,917
18:07:18:504281,-10774,8483,5130,7353,1761,-994,513,105,335,917
18:07:18:504993,-10875,8503,5016,7260,1736,-1003,515,126,292,881
18:07:18:505859,-10875,8503,5016,7260,1736,-1003,515,126,292,881
18:07:18:510514,-10875,8503,5016,7260,1736,-1003,515,126,292,881
18:07:18:518584,-10972,8520,4909,7165,1705,-1023,501,152,273,857
18:07:18:519340,-10972,8520,4909,7165,1705,-1023,501,152,273,857
18:07:18:525495,-10972,8520,4909,7165,1705,-1023,501,152,273,857
18:07:18:532889,-11076,8525,4809,7067,1699,-1060,557,235,258,850
18:07:18:540446,-11076,8525,4809,7067,1699,-1060,557,235,258,850
18:07:18:547828,-11076,8525,4809,7067,1699,-1060,557,235,258,850
18:07:18:556210,-11187,8511,4722,6968,1668,-1042,590,344,258,819
18:07:18:556848,-11187,8511,4722,6968,1668,-1042,590,344,258,819
18:07:18:570332,-11187,8511,4722,6968,1668,-1042,590,344,258,819
18:07:18:578561,-11300,8480,4649,6871,1610,-1007,601,438,244,764
18:07:18:579348,-11300,8480,4649,6871,1610,-1007,601,438,244,764
18:07:18:585317,-11300,8480,4649,6871,1610,-1007,601,438,244,764
18:07:18:592981,-11398,8448,4601,6780,1554,-919,518,459,186,673
18:07:18:600328,-11398,8448,4601,6780,1554,-919,518,459,186,673
18:07:18:616697,-11398,8448,4601,6780,1554,-919,518,459,186,673
18:07:18:617502,-11488,8415,4566,6694,1546,-946,503,468,155,585
18:07:18:618299,-11488,8415,4566,6694,1546,-946,503,468,155,585
18:07:18:639768,-11488,8415,4566,6694,1546,-946,503,468,155,585
18:07:18:640461,-11577,8375,4535,6610,1512,-979,508,510,154,543
18:07:18:641257,-11577,8375,4535,6610,1512,-979,508,510,154,543
18:07:18:645348,-11577,8375,4535,6610,1512,-979,508,510,154,543
18:07:18:652894,-11670,8320,4519,6526,1502,-1001,511,613,141,482
18:07:18:660455,-11670,8320,4519,6526,1502,-1001,511,613,141,482
18:07:18:667853,-11670,8320,4519,6526,1502,-1001,511,613,141,482
18:07:18:676134,-11761,8256,4515,6448,1526,-1018,530,669,129,405
18:07:18:676818,-11761,8256,4515,6448,1526,-1018,530,669,129,405
18:07:18:690422,-11761,8256,4515,6448,1526,-1018,530,669,129,405
18:07:18:698524,-11839,8190,4532,6376,1536,-960,506,677,68,323
18:07:18:699351,-11839,8190,4532,6376,1536,-960,506,677,68,323
18:07:18:705597,-11839,8190,4532,6376,1536,-960,506,677,68,323
18:07:18:712905,-11899,8127,4563,6322,1571,-936,491,616,45,198
18:07:18:720348,-11899,8127,4563,6322,1571,-936,491,616,45,198
18:07:18:727830,-11899,8127,4563,6322,1571,-936,491,616,45,198
18:07:18:751776,-11948,8068,4584,6289,1555,-950,565,503,87,107
18:07:18:752554,-11948,8068,4584,6289,1555,-950,565,503,87,107
18:07:18:753321,-11948,8068,4584,6289,1555,-950,565,503,87,107
18:07:18:758716,-12000,7999,4604,6266,1499,-900,652,505,105,66
18:07:18:759386,-12000,7999,4604,6266,1499,-900,652,505,105,66
18:07:18:765353,-12000,7999,4604,6266,1499,-900,652,505,105,66
18:07:18:773046,-12037,7947,4621,6248,1511,-944,672,387,68,29
18:07:18:780378,-12037,7947,4621,6248,1511,-944,672,387,68,29
18:07:18:787892,-12037,7947,4621,6248,1511,-944,672,387,68,29
18:07:18:796091,-12067,7890,4649,6242,1615,-814,671,370,81,10
18:07:18:796816,-12067,7890,4649,6242,1615,-814,671,370,81,10
18:07:18:810479,-12067,7890,4649,6242,1615,-814,671,370,81,10
18:07:18:818560,-12103,7814,4667,6253,1627,-619,749,359,192,34
18:07:18:819340,-12103,7814,4667,6253,1627,-619,749,359,192,34
18:07:18:825516,-12103,7814,4667,6253,1627,-619,749,359,192,34
18:07:18:832866,-12123,7781,4623,6288,1556,-488,855,-83,342,170
18:07:18:840423,-12123,7781,4623,6288,1556,-488,855,-83,342,170
18:07:18:847835,-12123,7781,4623,6288,1556,-488,855,-83,342,170
18:07:18:856267,-12133,7782,4528,6336,1466,-673,989,-376,430,183
18:07:18:856914,-12133,7782,4528,6336,1466,-673,989,-376,430,183
