TimeStamp , Q1, Q2, Q3, Q4, Q5, Q6, dQ1, dQ2, dQ3, dQ4, dQ5, dQ6, Fx, Fy, Fz, Mx, My, Mz, Joint1_torque, Joint2_torque, Joint3_torque, Joint4_torque, Joint5_torque, Joint6_torque 
23:34:50:482142,0.00015708,-0.582102,1.18674,1.74533e-05,1.35197,-3.49066e-05,0,0,0.00164061,0,0,0,0,0,0,0,0,0,-4.095,33.257,-4.102,2.884,-0.350841,-0.026771
23:34:50:487317,0.00015708,-0.582085,1.18674,1.74533e-05,1.35197,-3.49066e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.78,32.928,-2.506,3.227,-0.374794,0.001409
23:34:50:492443,0.00015708,-0.582085,1.18674,1.74533e-05,1.35197,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.06,32.984,-3.437,3.199,-0.2818,-0.077495
23:34:50:497441,0.00015708,-0.582085,1.18674,1.74533e-05,1.35197,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.06,32.585,-2.401,2.758,-0.412837,-0.047906
23:34:50:502380,0.00015708,-0.582085,1.18674,1.74533e-05,1.35197,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.263,33.607,-2.548,3.409,-0.19726,-0.080313
23:34:50:507579,0.00015708,-0.582085,1.18674,1.74533e-05,1.35197,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.06,33.264,-2.478,2.786,-0.443835,-0.039452
23:34:50:512512,0.00015708,-0.582085,1.18675,1.74533e-05,1.35197,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.766,32.41,-3.213,3.164,-0.417064,0.002818
23:34:50:517692,0.00015708,-0.582085,1.18675,1.74533e-05,1.35197,-5.23599e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.459,32.767,-2.751,3.073,-0.390293,-0.008454
23:34:50:522650,0.00015708,-0.582085,1.18675,1.74533e-05,1.35197,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.41,33.355,-3.052,2.289,-0.35225,0.026771
23:34:50:527828,0.00015708,-0.582085,1.18675,1.74533e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.06,32.998,-2.863,2.863,-0.333933,-0.012681
23:34:50:532817,0.00015708,-0.582085,1.18675,1.74533e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.368,32.998,-2.821,3.045,-0.293072,-0.076086
23:34:50:537951,0.00015708,-0.582085,1.18675,1.74533e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.5,33.355,-2.324,2.863,-0.329706,-0.125401
23:34:50:542882,0.00015708,-0.582085,1.18675,1.74533e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.074,33.187,-3.059,2.912,-0.328297,0.022544
23:34:50:548077,0.00015708,-0.582085,1.18675,1.74533e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.074,33.166,-2.324,3.087,-0.357886,-0.053542
23:34:50:553059,0.00015708,-0.582067,1.18675,1.74533e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.074,32.977,-2.94,2.926,-0.328297,0.030998
23:34:50:558063,0.00015708,-0.582067,1.18675,1.74533e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.018,32.935,-2.751,3.185,-0.308571,-0.074677
23:34:50:563186,0.00015708,-0.582067,1.18675,1.74533e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.165,32.977,-2.674,3.08,-0.263483,0.021135
23:34:50:568312,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.018,32.368,-3.409,2.905,-0.298708,0.066223
23:34:50:573308,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.745,32.102,-3.171,2.968,-0.229667,-0.021135
23:34:50:578314,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.661,32.788,-2.513,3.178,-0.328297,-0.007045
23:34:50:583451,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.745,33.215,-2.982,3.059,-0.311389,-0.119765
23:34:50:588380,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.074,32.445,-2.905,2.737,-0.373385,0.026771
23:34:50:593515,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-6.98132e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.864,33.131,-2.828,3.381,-0.457925,-0.184579
23:34:50:598563,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.249,33.145,-2.247,3.318,-0.340978,-0.083131
23:34:50:603686,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.165,33.425,-2.751,2.856,-0.226849,0.007045
23:34:50:608688,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.452,32.865,-3.136,2.919,-0.379021,-0.174716
23:34:50:613823,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.235,33.236,-2.478,2.898,-0.333933,-0.047906
23:34:50:618766,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.326,32.249,-2.982,2.828,-0.30998,-0.08454
23:34:50:623955,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.934,32.487,-2.632,2.996,-0.353659,0.139491
23:34:50:628879,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.123,32.431,-3.374,3.031,-0.349432,0.04227
23:34:50:634057,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.207,32.592,-2.786,3.528,-0.356477,-0.029589
23:34:50:639066,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.585,32.606,-3.059,3.353,-0.222622,-0.09863
23:34:50:644068,0.00015708,-0.582067,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.235,32.753,-2.982,2.716,-0.333933,-0.057769
23:34:50:649177,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.235,33.033,-3.178,2.912,-0.232485,-0.002818
23:34:50:654213,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.829,33.075,-2.786,3.22,-0.26771,0.07045
23:34:50:659131,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.906,32.459,-2.401,2.681,-0.329706,0
23:34:50:664324,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.584,32.753,-2.632,3.094,-0.269119,0.002818
23:34:50:669301,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.151,32.179,-2.751,3.101,-0.287436,-0.039452
23:34:50:674426,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.305,32.578,-1.82,3.199,-0.302935,0.032407
23:34:50:679472,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.438,33.159,-2.863,2.94,-0.360704,-0.011272
23:34:50:684569,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.557,32.487,-2.429,3.129,-0.22544,-0.076086
23:34:50:689549,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.326,32.886,-3.521,2.793,-0.374794,0.05636
23:34:50:694560,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-3.689,32.753,-1.862,2.996,-0.417064,-0.039452
23:34:50:699654,0.00015708,-0.58205,1.18675,3.49066e-05,1.35195,-8.72665e-05,0,0,0,0,0,0,0,0,0,0,0,0,-4.032,32.578,-2.863,2.562,-0.390293,-0.018317
23:34:50:704681,0.00015708,-0.58205,1.18675,5.23599e-05,1.35195,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.109,32.508,-2.94,3.605,-0.35225,-0.09863
23:34:50:709804,0.00015708,-0.58205,1.18677,5.23599e-05,1.35195,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.585,33.6,-1.582,2.765,-0.333933,0.039452
23:34:50:714846,0.00015708,-0.58205,1.18677,5.23599e-05,1.35195,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-3.584,32.648,-2.401,2.338,-0.339569,-0.039452
23:34:50:719939,0.00015708,-0.58205,1.18677,5.23599e-05,1.35195,-0.00010472,0,0,0,0,0,0,0,0,0,0,0,0,-4.655,32.333,-3.486,2.107,-0.290254,-0.069041
23:34:50:725067,0.00015708,-0.58205,1.18677,5.23599e-05,1.35195,-0.00010472,0,0,0,0,0,0,0.004,0.037,0.015,-0.001,0,0,-4.06,32.571,-3.108,1.54,-0.328297,-0.050724
23:34:50:730067,0.00015708,-0.58205,1.18677,5.23599e-05,1.35195,-0.00010472,0,0,0,0,0,0,0.008,0.036,0.068,0,0,0,-3.773,33.103,-3.528,2.842,-0.236712,-0.039452
23:34:50:735016,0.00015708,-0.58205,1.18677,5.23599e-05,1.35195,-0.00010472,0,0,0,0,0,0,0.011,0.038,-0.007,0,0,0,-4.438,33.334,-2.863,2.506,-0.2818,-0.047906
23:34:50:740000,0.00015708,-0.58205,1.18677,5.23599e-05,1.35195,-0.00010472,0,0,0,0,0,0,0.025,0.065,-0.264,0,0,0.002,-3.703,32.767,-3.017,2.66,-0.245166,-0.059178
23:34:50:745120,0.00015708,-0.58205,1.18677,5.23599e-05,1.35195,-0.00010472,0,0,0,0,0,0,0.038,0.084,-0.399,0,0,0.003,-3.948,32.095,-2.863,2.905,-0.22544,0.162035
23:34:50:750301,0.00015708,-0.58205,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.036,0.084,-0.396,0,0,0.003,-4.424,33.061,-2.086,2.919,-0.418473,-0.039452
23:34:50:755273,0.00015708,-0.58205,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.012,0.066,-0.318,0,0,0.002,-4.018,31.948,-2.786,3.598,-0.333933,0.069041
23:34:50:760264,0.00015708,-0.58205,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.029,0.031,-0.255,0,0,0.002,-4.41,33.068,-3.017,2.59,-0.288845,-0.007045
23:34:50:765423,0.00015708,-0.58205,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.034,0.002,-0.245,0,0,0.001,-4.508,33.11,-2.45,2.59,-0.233894,0.036634
23:34:50:770425,0.00015708,-0.58205,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.01,-0.045,-0.18,0,0,0.001,-4.438,32.781,-2.128,3.339,-0.266301,-0.069041
23:34:50:775582,0.00015708,-0.58205,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.079,-0.057,-0.129,0,0,0.001,-3.934,32.676,-2.947,3.269,-0.259256,-0.025362
23:34:50:780545,0.00015708,-0.58205,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.101,-0.03,-0.191,0,0,0.002,-3.528,32.711,-3.024,2.639,-0.280391,-0.061996
23:34:50:785682,0.00015708,-0.58205,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.067,0.024,-0.343,0,0,0.003,-4.235,32.788,-2.548,2.919,-0.274755,-0.021135
23:34:50:790691,0.00015708,-0.58205,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.015,0.033,-0.336,0,0,0.003,-4.396,32.718,-2.471,2.688,-0.353659,-0.01409
23:34:50:795816,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.043,0.004,-0.121,-0.001,0,0.001,-4.193,32.515,-2.59,3.066,-0.312798,-0.002818
23:34:50:800815,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.048,-0.008,0.001,-0.001,0,0,-4.41,32.361,-2.821,3.164,-0.201487,0.050724
23:34:50:805940,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.019,0.022,-0.05,0,0,0,-4.235,32.627,-2.156,2.653,-0.398747,-0.059178
23:34:50:810940,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.002,0.054,-0.16,0,0,0.001,-3.773,32.515,-3.248,2.457,-0.329706,0.021135
23:34:50:816053,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.004,0.053,-0.167,0,0,0.001,-3.948,32.977,-2.982,2.814,-0.353659,-0.002818
23:34:50:821049,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.007,0.018,-0.05,-0.001,0,0.001,-4.088,32.55,-2.744,2.842,-0.288845,0.018317
23:34:50:826175,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.026,-0.025,0.085,-0.001,0,0,-3.514,32.361,-2.786,2.114,-0.278982,-0.088767
23:34:50:831199,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.04,-0.026,0.057,-0.001,0,0,-3.815,32.326,-2.751,2.863,-0.307162,-0.002818
23:34:50:836204,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.042,-0.008,-0.102,0,0,0.001,-3.675,33.019,-2.639,2.716,-0.255029,-0.025362
23:34:50:841316,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.032,-0.008,-0.208,0,0,0.001,-3.472,32.711,-3.059,3.465,-0.264892,-0.047906
23:34:50:846297,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.025,-0.031,-0.281,0,0,0.001,-4.123,33.684,-3.486,2.702,-0.229667,0.032407
23:34:50:851435,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.028,-0.045,-0.231,0,0,0.001,-4.207,32.361,-3.486,3.668,-0.240939,0.054951
23:34:50:856438,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.027,-0.048,-0.005,0,-0.001,0,-4.165,32.9,-2.905,3.22,-0.300117,0.088767
23:34:50:861545,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.01,-0.04,0.144,0,-0.001,-0.001,-4.536,31.941,-2.744,2.59,-0.238121,0.050724
23:34:50:866560,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.032,-0.019,0.125,0,0,0,-3.703,32.319,-2.898,2.891,-0.387475,-0.025362
23:34:50:871568,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.05,0.009,-0.165,0,0,0.002,-4.382,32.865,-2.394,3.157,-0.236712,0.091585
23:34:50:876686,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.032,0.022,-0.321,0,0,0.003,-4.291,32.284,-3.101,3.136,-0.355068,-0.054951
23:34:50:881669,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.019,0.021,-0.308,0,0,0.002,-4.095,33.089,-2.744,3.5,-0.349432,0.050724
23:34:50:886810,0.00015708,-0.582032,1.18677,5.23599e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.044,0.012,-0.215,0,0,0.002,-3.675,32.438,-3.101,2.982,-0.356477,0.02818
23:34:50:891758,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.045,0.01,-0.189,0,0,0.002,-4.354,32.291,-2.828,3.171,-0.388884,-0.08454
23:34:50:896918,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.032,0.021,-0.257,0,0,0.002,-4.151,32.9,-2.954,2.499,-0.312798,0.050724
23:34:50:901877,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.022,0.041,-0.296,-0.001,0,0.002,-3.857,32.83,-3.22,2.464,-0.293072,0.018317
23:34:50:906882,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.024,0.044,-0.219,-0.001,0,0.001,-3.864,32.711,-3.717,3.073,-0.240939,0.147945
23:34:50:912003,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.024,0.024,-0.086,-0.001,0,0,-4.179,32.214,-2.59,3.185,-0.326888,0.01409
23:34:50:917045,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.01,0.003,-0.084,0,0,0.001,-4.599,33.096,-2.905,2.625,-0.30998,-0.069041
23:34:50:922119,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.037,-0.013,-0.195,0,0,0.002,-4.123,32.669,-3.486,1.981,-0.333933,-0.066223
23:34:50:927310,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.068,-0.009,-0.252,0,0,0.002,-3.773,33.061,-3.29,2.422,-0.412837,0.059178
23:34:50:932257,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.07,0,-0.22,0,0,0.001,-4.305,32.242,-2.632,2.688,-0.257847,-0.095812
23:34:50:937245,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.034,-0.012,-0.123,0,0,0,-3.878,32.627,-2.828,2.94,-0.187397,0.009863
23:34:50:942420,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.03,-0.062,0.085,0,-0.001,-0.001,-4.305,33.096,-2.59,3.045,-0.201487,0.059178
23:34:50:947417,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.042,-0.09,0.214,0,-0.001,-0.002,-3.815,32.011,-3.185,2.765,-0.335342,-0.002818
23:34:50:952543,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.007,-0.076,0.25,0,0,-0.001,-4.368,33.327,-2.044,2.198,-0.259256,0.066223
23:34:50:957511,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.018,-0.04,0.14,0,0,0,-3.472,32.319,-3.486,2.653,-0.4227,-0.029589
23:34:50:962679,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.014,-0.006,-0.055,0,0,0.001,-4.123,33.173,-2.702,2.541,-0.293072,0.007045
23:34:50:967683,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.019,-0.029,-0.048,0,0,0.001,-3.773,32.781,-3.521,2.499,-0.367749,-0.088767
23:34:50:972665,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.03,-0.048,0.049,0,0,0,-3.906,32.515,-2.975,3.199,-0.445244,0.009863
23:34:50:977792,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.019,-0.035,0.132,0,0,0,-4.165,32.669,-2.513,2.94,-0.312798,-0.043679
23:34:50:982739,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.006,-0.002,0.099,0,0,0,-3.402,32.361,-3.332,3.199,-0.39452,-0.021135
23:34:50:987915,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.003,0.038,-0.016,-0.001,0,0,-4.193,33.173,-3.101,2.485,-0.307162,0.080313
23:34:50:992910,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.002,0.045,-0.104,0,0,0.001,-4.249,32.088,-3.171,2.562,-0.336751,0.002818
23:34:50:998040,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.012,0.034,-0.224,0,0,0.002,-3.843,33.208,-1.778,2.499,-0.304344,-0.009863
23:34:51:3040,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.023,0.02,-0.244,0,0,0.002,-4.858,32.438,-2.289,2.87,-0.326888,0.061996
23:34:51:8165,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.017,-0.004,-0.114,0,0,0.001,-4.655,33.208,-2.709,2.653,-0.269119,-0.073268
23:34:51:13166,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.005,-0.013,0.008,0,0,0,-3.801,32.823,-2.282,2.653,-0.30998,-0.025362
23:34:51:18300,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.044,-0.001,0.045,0,0,0,-4.319,32.788,-2.947,2.814,-0.194442,-0.114129
23:34:51:23247,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.049,0.012,-0.031,0,0,0,-4.137,32.746,-3.633,2.744,-0.053542,-0.07045
23:34:51:28411,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.022,0,-0.109,0,0,0,-4.508,32.207,-2.912,2.436,-0.202896,0.036634
23:34:51:33414,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.002,-0.034,-0.081,0,0,0,-4.032,32.746,-2.94,2.856,-0.393111,-0.02818
23:34:51:38547,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.008,-0.077,-0.054,0,0,0,-4.34,33.6,-2.674,3.192,-0.293072,-0.002818
23:34:51:43559,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.006,-0.06,-0.147,0,0,0.001,-4.179,32.55,-2.989,2.905,-0.264892,0.002818
23:34:51:48549,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.002,-0.029,-0.181,0,0,0.001,-4.557,32.669,-2.212,2.639,-0.398747,-0.047906
23:34:51:53660,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.007,0,-0.071,0,0,0,-4.291,32.088,-2.786,2.842,-0.328297,-0.01409
23:34:51:58664,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.009,0.004,0.026,0,0,0,-4.382,32.704,-3.178,2.688,-0.312798,0.018317
23:34:51:63787,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.002,0.007,0.033,0,0,0,-3.948,32.9,-3.059,3.031,-0.257847,0.047906
23:34:51:68850,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.006,0.008,-0.013,0,0,0,-3.381,32.781,-3.059,3.031,-0.314207,0.129628
23:34:51:73789,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.026,-0.009,0.066,0,0,0,-4.032,33.131,-2.947,2.716,-0.346614,0.059178
23:34:51:78872,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.066,-0.031,0.231,-0.001,0,-0.001,-3.934,32.515,-1.932,3.094,-0.194442,0.125401
23:34:51:84051,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.093,-0.048,0.386,-0.001,0,-0.003,-4.109,33.131,-2.982,2.73,-0.245166,-0.061996
23:34:51:89050,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.069,-0.036,0.307,-0.001,0,-0.002,-3.773,32.55,-2.59,3.045,-0.262074,0.043679
23:34:51:93995,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.002,-0.008,0.032,-0.001,0,0,-3.703,32.627,-2.289,2.513,-0.30998,-0.01409
23:34:51:99186,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.027,-0.002,-0.091,0,0,0,-3.703,32.011,-2.009,2.765,-0.332524,0.025362
23:34:51:104296,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.022,-0.009,-0.095,0,0,0,-4.34,32.942,-2.863,2.702,-0.249393,0.007045
23:34:51:109282,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.003,-0.005,-0.07,0,0,0,-4.34,32.011,-2.828,2.842,-0.255029,-0.088767
23:34:51:114282,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.039,0.019,-0.135,0,0,0,-4.291,32.396,-2.212,2.373,-0.228258,0.009863
23:34:51:119427,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.042,0.033,-0.217,0,0,0.001,-4.109,32.746,-3.409,2.611,-0.242348,0.080313
23:34:51:124408,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,-0.012,0.019,-0.247,0,0,0.001,-4.557,32.592,-2.94,2.912,-0.386066,0.059178
23:34:51:129354,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.014,-0.008,-0.178,0,-0.001,0.001,-3.584,32.13,-2.401,2.534,-0.312798,-0.01409
23:34:51:134533,0.00015708,-0.582032,1.18677,6.98132e-05,1.35193,-0.00010472,0,0,0,0,0,0,0.023,-0.042,-0.057,0,0,0,-3.829,31.857,-2.632,2.87,-0.288845,0.091585
